date,S,vix,r,sentiment
2018-03-02,90.6441879272461,19.59000015258789,2.86,0.340387
2018-03-05,92.0360336303711,18.729999542236328,2.88,0.185501
2018-03-06,92.11602020263672,18.360000610351562,2.88,
2018-03-07,91.77203369140625,17.760000228881836,2.89,
2018-03-08,91.7800521850586,16.540000915527344,2.86,-0.11266799999999999
2018-03-09,94.41969299316406,14.640000343322754,2.9,
2018-03-12,94.11575317382812,15.779999732971191,2.87,0.2193955
2018-03-13,92.98788452148438,16.350000381469727,2.84,
2018-03-14,91.94803619384766,17.229999542236328,2.81,0.077854
2018-03-15,92.18000030517578,16.59000015258789,2.82,-0.162101
2018-03-16,92.3399887084961,15.800000190734863,2.85,
2018-03-19,91.6120834350586,19.020000457763672,2.85,
2018-03-20,91.70006561279297,18.200000762939453,2.89,0.250276
2018-03-21,91.7800521850586,17.860000610351562,2.89,0.0674945
2018-03-22,87.94853973388672,23.34000015258789,2.83,-0.446484
2018-03-23,85.59684753417969,24.8700008392334,2.82,
2018-03-26,88.23651123046875,21.030000686645508,2.85,0.21189099999999997
2018-03-27,86.52473449707031,22.5,2.78,0.1584705
2018-03-28,86.38876342773438,22.8700008392334,2.77,-0.119278
2018-03-29,87.96455383300781,19.969999313354492,2.74,0.06415266666666666
2018-04-02,86.2687759399414,23.6200008392334,2.73,0.004452
2018-04-03,87.45263671875,21.100000381469727,2.79,-0.427512
2018-04-04,88.78046417236328,20.059999465942383,2.79,0.046283
2018-04-05,89.9461669921875,18.940000534057617,2.83,0.078452
2018-04-06,87.703125,21.489999771118164,2.77,
2018-04-09,88.75631713867188,21.770000457763672,2.78,
2018-04-10,90.45265197753906,20.469999313354492,2.8,
2018-04-11,88.93318939208984,20.239999771118164,2.79,0.297531
2018-04-12,91.14405822753906,18.489999771118164,2.83,
2018-04-13,88.67594146728516,17.40999984741211,2.82,0.22652433333333333
2018-04-16,88.60357666015625,16.559999465942383,2.83,-0.103803
2018-04-17,88.60357666015625,15.25,2.82,0.216701
2018-04-18,87.88807678222656,15.600000381469727,2.87,0.1944566666666667
2018-04-19,89.81755065917969,15.960000038146973,2.92,-0.03763750000000002
2018-04-20,89.61654663085938,16.8799991607666,2.96,-0.277466
2018-04-23,89.18244934082031,16.34000015258789,2.98,-0.028753
2018-04-24,88.7643814086914,18.020000457763672,3.0,
2018-04-25,88.42669677734375,17.84000015258789,3.03,
2018-04-26,88.5151596069336,16.239999771118164,3.0,0.264563
2018-04-27,87.95237731933594,15.40999984741211,2.96,
2018-04-30,87.45393371582031,15.930000305175781,2.95,
2018-05-01,87.45393371582031,15.489999771118164,2.97,0.06621733333333334
2018-05-02,86.76251983642578,15.970000267028809,2.97,0.21386066666666667
2018-05-03,86.21581268310547,15.899999618530273,2.94,0.139197
2018-05-04,87.17252349853516,14.770000457763672,2.95,0.232359
2018-05-07,87.92826843261719,14.75,2.95,0.059540499999999996
2018-05-08,89.23065185546875,14.710000038146973,2.97,0.1344475
2018-05-09,91.17621612548828,13.420000076293945,3.0,0.16624
2018-05-10,91.88370513916016,13.229999542236328,2.97,-0.108799
2018-05-11,91.53799438476562,12.649999618530273,2.97,
2018-05-14,91.5701675415039,12.930000305175781,3.0,0.228047
2018-05-15,90.87071990966797,14.630000114440918,3.08,0.4939055
2018-05-16,91.11994171142578,13.420000076293945,3.09,0.2372395
2018-05-17,90.81442260742188,13.430000305175781,3.11,0.17545550000000001
2018-05-18,89.34320068359375,13.420000076293945,3.06,-0.157917
