date,regime,pred_vol,true_bsm_price,bsm_price,heston_price,sabr_price,ensemble_price
2018-10-23,High_Vol,0.18732637630365442,2.6535598000256257,2.5021873078357046,1.2085435448579886,2.5027475768350413,2.3945908321170437
2018-10-25,High_Vol,0.1874761897265863,2.3551038928775796,2.1951122383139676,0.6796780026475773,2.1956383923336986,2.0690091252973133
2018-10-26,High_Vol,0.18813244285939001,1.6600059985136824,1.4115119440587947,0.000833337834522086,1.4120508528645317,1.294148310631332
2018-10-30,High_Vol,0.19613825597560763,3.2900663741362735,3.124317421361596,2.0361703492053636,3.124983657871965,3.033902052794823
2018-11-01,High_Vol,0.2020743476069068,4.726724741093818,4.643326490573699,4.0332928097764835,4.6442523966300655,4.592891096621969
2018-11-02,High_Vol,0.1969836270644135,4.797615123083446,4.657309696070158,4.107508227998139,4.658228306803096,4.611892613237142
2018-11-05,High_Vol,0.18531954080199722,5.1568280409619405,4.94384197958081,4.545123990826141,4.94476891939388,4.9110247735714
2018-11-08,High_Vol,0.19090489588193468,7.7196783941934655,7.628767066498554,7.503513496481304,7.629700274385129,7.618751880682289
2018-11-09,High_Vol,0.1932130326892876,6.6133244104436955,6.494672428758392,6.265648485787935,6.4956899590984705,6.476044365818821
2018-11-13,High_Vol,0.18939874204523321,5.290550351623239,4.962177962309482,4.529806176475702,4.963119430940054,4.926561641448739
2018-11-15,High_Vol,0.19381813430720768,5.507592556279761,5.142919963993222,4.708571819175788,5.143891138785619,5.107152476078693
2018-11-20,High_Vol,0.208423028067794,4.427724808710657,3.942277706674112,3.0354990060193785,3.943096146464903,3.867053005522455
2018-11-26,High_Vol,0.2161469631606263,4.822921688652158,4.550214442119291,3.765820445648714,4.551142260346488,4.4852432360301195
2018-11-28,High_Vol,0.21534907675388623,6.03087828314311,5.582336170702931,5.062293439613143,5.583405391209865,5.5394690968977525
2018-12-04,High_Vol,0.20947294940182268,3.3389077283249264,2.6143618046028934,0.9702290383131782,2.6149723940510228,2.477567567330479
