date,regime,bsm_delta,bsm_gamma,bsm_vega,bsm_theta,bsm_rho,heston_delta,heston_gamma,heston_vega,heston_theta,heston_rho,sabr_delta,sabr_gamma,sabr_vega,sabr_theta,sabr_rho
2018-09-12,Low_Vol,0.8885938076322992,0.03974000070397784,5.00694138589999,-229.48151390744948,6.286339228917215,0.9999999999991492,0.0,0.0,-255.07109716500054,7.156877024831664,0.8886086602849969,0.039676540382944124,5.011981613550874,-229.4997975374713,6.286372747607319
2018-09-13,Low_Vol,0.8996450384918866,0.036295703105330916,4.6608169590800195,-232.13943518652547,6.369853278388089,1.000000000000114,0.0,0.0,-255.07109716500054,7.156877024831664,0.899641711261116,0.036233299293686565,4.6664570993800245,-232.15361675198665,6.369747086558244
2018-09-14,Low_Vol,0.9049635585170477,0.03495412288347197,4.477606808874818,-234.53924401804275,6.40002240439448,1.0000000000006468,0.0,0.0,-256.36112285894797,7.144958831074357,0.904950910431615,0.03489208942563449,4.483554339641324,-234.55112271790313,6.399845351092286
2018-09-17,Low_Vol,0.9150851118405186,0.032189531935309094,4.130437726844396,-236.93011222390888,6.477800320415341,1.000000000000467,0.0,0.0,-256.36112285894797,7.144958831074357,0.9150539517230701,0.03212937699591868,4.137039387556264,-236.9374742588093,6.477481903268584
2018-09-18,Low_Vol,0.9383190396559686,0.025030315333750212,3.246521105711753,-245.96773243339712,6.623387500301749,1.0000000000006102,0.0,0.0,-260.2012291288247,7.109323200241112,0.9382428839968334,0.02498094994206348,3.2548298851997584,-245.96362084054135,6.6227254172807335
2018-09-20,Low_Vol,0.9924166390195465,0.00442114398351996,0.578870346631343,-259.79555385056864,7.035887010364094,0.9999999999995066,0.0,0.0,-261.4713178115835,7.097484196816799,0.9922991631614648,0.0044427634715874945,0.5888333009875657,-259.77431384319516,7.0349196340759566
2018-09-21,Low_Vol,0.9850233169602118,0.007604179828998074,1.0400215852519603,-258.13750651576015,6.976354835913165,0.9999999999994295,0.0,0.0,-261.4713178115835,7.097484196816799,0.9848868261830624,0.007612334804079287,1.051186244108026,-258.114509901759,6.975227167653398
2018-09-24,Low_Vol,0.9789392515583598,0.010428234652055529,1.3777234338038766,-257.3384124850426,6.922785250447338,1.0000000000001226,0.0,0.0,-262.10450446029654,7.091572090375989,0.9788004529875105,0.010425833722541375,1.3889533679631523,-257.3156270850063,6.921642945265851
2018-09-25,Low_Vol,0.9775208037722822,0.011023668427047642,1.4515891969132324,-258.23785478342216,6.900080173256773,0.9999999999998331,0.0,0.0,-263.3671704879248,7.07976264752486,0.9773825066194268,0.011018850179149392,1.4627680135916787,-258.21519773700174,6.898943328632039
2018-09-26,Low_Vol,0.9574792882519007,0.01902988018765112,2.430286254329095,-251.0680223873136,6.766960958447375,0.9999999999992025,0.0,0.0,-260.836893241958,7.103401232079467,0.9573663033421778,0.018996499913219268,2.440185559572396,-251.05367665929634,6.766018885740201
2018-10-01,Low_Vol,0.9313897366233523,0.02767754501889507,3.501487036678683,-246.61972370336656,6.548826804377059,1.0000000000006468,0.0,0.0,-262.7364548123978,7.085664908640719,0.9313270807526092,0.02762313230819793,3.50921745213689,-246.6185920764019,6.548271698642872
2018-10-02,Low_Vol,0.9342711370926542,0.026789188837910392,3.401256567347317,-244.969084281427,6.5930472379179585,0.9999999999998938,0.0,0.0,-260.2012291288247,7.109323200241112,0.9342027402245082,0.026736362438913988,3.4092391145618253,-244.96669119514536,6.592446768242785
2018-10-03,Low_Vol,0.9633352910258577,0.016112408618030663,2.1547068347540264,-257.92812026925,6.760021950050071,1.0000000000002054,0.0,0.0,-266.502285284389,7.050325007523519,0.963213180231413,0.01608723999482504,2.1650132466849117,-257.91096700828575,6.759009401675831
2018-10-05,Low_Vol,0.9786638727831712,0.010496460494297333,1.3774631839608773,-266.39379406126153,6.834329025594362,0.99999999999941,0.0,0.0,-271.4548525179339,7.003479167129357,0.9785253167402025,0.01049356674776837,1.3885567211208787,-266.3695919869724,6.833200185010158
2018-10-09,Low_Vol,0.9780102689770087,0.010978325436837142,1.4117995744654994,-265.0208875924294,6.841031463504452,0.9999999999992902,0.0,0.0,-270.22401577511346,7.015161364878335,0.9778717165486779,0.010974286689587118,1.422886848706095,-264.99674042526067,6.839903865726211
2018-10-10,Low_Vol,0.9330215146732478,0.027796406967814363,3.3991548119579624,-254.45562707828094,6.491209195653939,0.9999999999997419,0.0,0.0,-270.84004103727466,7.009317832227604,0.9329554779981375,0.027741650149579314,3.406927549088053,-254.45257394324017,6.49063587124364
2018-10-11,Low_Vol,0.7776416698914335,0.06454270620552344,7.569173053064443,-210.77166611988312,5.374775505787432,1.0000000000003642,0.0,0.0,-265.87771875597355,7.056202727069361,0.7777627066500911,0.06451917658672188,7.571375764927575,-210.81462698703035,5.3755977739530865
2018-10-12,Low_Vol,0.6947433362495492,0.06757947638906601,8.806039469646544,-190.40822182850647,4.748853676028039,1.000000000000201,0.0,0.0,-266.502285284389,7.050325007523519,0.6948660511497385,0.06759885799803388,8.808178707412612,-190.45106701341297,4.749683152907448
2018-10-15,Low_Vol,0.6666345268203957,0.07116823306618586,9.085748329625906,-183.41852711340016,4.543034071213465,1.0000000000006881,0.0,0.0,-267.12562681893814,7.044452184043727,0.6667469111917388,0.0711998808522283,9.087993810107253,-183.45807377997403,4.543788454116654
2018-10-16,Low_Vol,0.7866075853905203,0.05609983650983558,7.425112475631116,-214.51157831788208,5.418246844272907,0.9999999999991512,0.0,0.0,-267.12562681893814,7.044452184043727,0.7867256577990551,0.056075066102752535,7.427379395578072,-214.55540660184624,5.419041778504884
2018-10-18,Low_Vol,0.7640642883789273,0.059136425032009776,7.822151786295361,-209.2164912850354,5.246925999901639,0.9999999999992867,0.0,0.0,-267.74774496601594,7.038584252524078,0.7641899643858973,0.05912272287891183,7.824271686519856,-209.26185982162337,5.247775762659355
2018-10-19,Low_Vol,0.765033881301879,0.058142092432898404,7.791400259198907,-210.91057715737628,5.2387228999749915,0.9999999999997928,0.0,0.0,-269.60677513613973,7.021009769170305,0.7651594051762913,0.058128198498971724,7.793518957987756,-210.95631527160208,5.239568807746675
2018-10-23,Low_Vol,0.6061754398200956,0.07577735040958287,9.51481776580777,-167.87193072046315,4.104945223257519,1.000000000000414,0.0,0.0,-267.74774496601594,7.038584252524078,0.6062528527704774,0.07582972022997912,9.517323673141451,-167.9013974667498,4.105447883744241
2018-10-25,Low_Vol,0.5670872358639953,0.08098304251954723,9.690465450816726,-156.26068591441816,3.8429097522654323,0.9999999999998321,0.0,0.0,-265.87771875597355,7.056202727069361,0.5671358862381314,0.08104653384730362,9.69310389917785,-156.28174180051246,3.8432101405509385
2018-10-26,Low_Vol,0.43341399603358643,0.08429077076938879,9.559439543185412,-118.92813478706022,2.9197313264615374,0.0003800069908919597,-0.0001283995762371326,0.0002731097777661402,-0.10167222474807835,0.0025960905026661324,0.4333548294930382,0.08435300910161968,9.561999040844858,-118.92063256652818,2.919270363394948
2018-10-30,Low_Vol,0.6730249585780128,0.07355471044683165,9.04610016626366,-183.25985489787553,4.611131936742579,1.0000000000005496,0.0,0.0,-264.6249042766158,7.067972870636104,0.6731401511842624,0.0735847738442509,9.04832335205565,-183.29960970675074,4.611910877559083
2018-11-01,Low_Vol,0.7817685831168035,0.05333706773114397,7.547172377541326,-212.6280011366593,5.3836724044520485,0.999999999999313,0.0,0.0,-265.87771875597355,7.056202727069361,0.7818890482526966,0.05331627056523207,7.549401213205396,-212.67295108430062,5.38448388026388
2018-11-02,Low_Vol,0.7912416077083856,0.053270264627813126,7.313975737796136,-218.7198662380062,5.420021213609851,0.9999999999997267,0.0,0.0,-270.84004103727466,7.009317832227604,0.7913578111650085,0.05324450560731156,7.31627291424244,-218.76419700816996,5.420796784545806
2018-11-05,Low_Vol,0.8227210970620611,0.04993829171525403,6.662034622061575,-225.70893529007952,5.666496510312318,0.9999999999992344,0.0,0.0,-269.60677513613973,7.021009769170305,0.8228165731817775,0.04989746720569829,6.664785366792317,-225.74806933533864,5.667122232444476
2018-11-08,Low_Vol,0.9279783715354757,0.02508356903615378,3.623948719367869,-254.64646722095276,6.433678332356759,1.0000000000002112,0.0,0.0,-272.06845181495964,6.997645365611102,0.9279245333609408,0.025034616445386074,3.631324386653134,-254.64901922248373,6.433180041088138
