date,rolling_vol,regime,actual_vol,lr_pred_vol,rf_pred_vol,xgb_pred_vol,best_vol_pred,two_step_price,e2e_price,true_bsm_price,bsm_baseline_price,vol_residual,two_step_price_residual,e2e_price_residual
2018-09-21,0.11555953361118604,Low_Vol,0.11524468974687889,0.1415175610450802,0.18086072711105242,0.1746244,0.1415175610450802,10.09423538446643,7.3731985,10.091121609926631,10.09117592111646,-0.026272871298201314,-0.0031137745397984418,2.7179231007103226
2018-09-24,0.11524468974687889,Low_Vol,0.11420391271750968,0.15282535331260683,0.17810415748005198,0.18255211,0.15282535331260683,9.261298561907111,7.140154,9.249088671061344,9.249199435399632,-0.038621440595097145,-0.01220989084576729,2.1089347861736485
2018-09-25,0.11420391271750968,Low_Vol,0.11756957661503993,0.15614349368142327,0.17852529507850626,0.18071511,0.15614349368142327,9.139762751029707,6.995435,9.124467971053164,9.124228856243533,-0.03857391706638334,-0.015294779976542827,2.1290327331686427
2018-09-26,0.11756957661503993,Low_Vol,0.1173857376824075,0.15735750306426988,0.1772915974075697,0.18047072,0.15735750306426988,7.775646073902351,6.785194,7.737243117872069,7.736124725159627,-0.03997176538186238,-0.0384029560302821,0.9520491977365708
2018-10-01,0.1173857376824075,Low_Vol,0.11795816480201145,0.15798575403110937,0.1803626934010414,0.18303664,0.15798575403110937,6.796241037955284,6.993608,6.729844362880968,6.7295201799867215,-0.040027589229097923,-0.06639667507431568,-0.26376363501331923
2018-10-02,0.11795816480201145,Low_Vol,0.12219049109780693,0.159087108645492,0.1795197010814814,0.18508253,0.159087108645492,6.891986342195949,5.969569,6.828744118869039,6.824584270717281,-0.03689661754768507,-0.06324222332690965,0.8591749126312465
2018-10-03,0.12219049109780693,Low_Vol,0.10585678154576292,0.15124252238121152,0.185585228166411,0.19863847,0.15124252238121152,8.406276834109235,5.9728904,8.386101735573718,8.387854148860583,-0.04538574083544861,-0.020175098535517577,2.41321135852904
2018-10-05,0.10585678154576292,Low_Vol,0.10718809977302601,0.14605676913687782,0.1809124007371009,0.18571055,0.14605676913687782,9.264826870804598,6.774723,9.257085982151992,9.25818886147492,-0.038868669363851804,-0.007740888652605804,2.482362929173476
2018-10-09,0.10718809977302601,Low_Vol,0.13908769774477692,0.13246496829907606,0.1775931519655706,0.18338573,0.13246496829907606,9.03925841763025,6.8220944,9.04155742098483,9.035549527235673,0.006622729445700859,0.002299003354579554,2.219462980524625
2018-10-10,0.13908769774477692,Low_Vol,0.17036291962449893,0.13451983889688537,0.178245473719131,0.18348551,0.13451983889688537,6.655443058753335,6.8074045,6.737247869868398,6.6290277874152395,0.03584308072761355,0.0818048111150631,-0.07015664825904366
2018-10-11,0.17036291962449893,Low_Vol,0.17102849314151533,0.15589639415494028,0.18166064297852852,0.19291322,0.15589639415494028,3.7609646608524514,4.5748863,3.86834655632461,3.650541288411759,0.015132098986575054,0.10738189547215882,-0.7065397656968742
2018-10-12,0.17102849314151533,Low_Vol,0.17106738266078303,0.1803550847551003,0.2063272013906482,0.22496298,0.1803550847551003,3.2698754117169244,3.3084834,3.1915721580944947,3.1856879087481573,-0.009287702094317257,-0.07830325362242974,-0.1169112041033813
2018-10-15,0.17106738266078303,Low_Vol,0.19064970998243935,0.18641254895187065,0.20447178607988295,0.20228763,0.18641254895187065,3.023854883809882,3.1747653,3.061812678399697,2.887521199465354,0.0042371610305687035,0.03795779458981485,-0.11295267003475118
2018-10-16,0.19064970998243935,High_Vol,0.1935291680952545,0.1914783537299433,0.20317667493838293,0.2036167,0.1914783537299433,4.443374499009863,2.8827372,4.458102677715289,4.302891804756456,0.00205081436531121,0.014728178705425421,1.5753655179862847
2018-10-18,0.1935291680952545,High_Vol,0.19166827786454696,0.19344457722714575,0.20504643972854858,0.21690407,0.19344457722714575,4.172290580983727,3.8151028,4.158831283399266,4.151143864733228,-0.0017762993625987933,-0.013459297584461183,0.34372846777121424
2018-10-19,0.19166827786454696,High_Vol,0.19249024013006502,0.1872836714146197,0.20842675843863465,0.23072939,0.1872836714146197,4.173060179535327,3.4603922,4.211683883371265,4.2194629528835605,0.005206568715445309,0.03862370383593827,0.7512916466616701
2018-10-23,0.19249024013006502,High_Vol,0.20328369161920057,0.18732637630365442,0.20529057441792106,0.20990543,0.18732637630365442,2.5021873078357046,3.2535274,2.6535598000256257,2.5432965866036383,0.015957315315546144,0.1513724921899211,-0.5999676028521819
2018-10-25,0.20328369161920057,High_Vol,0.20398889050712868,0.1874761897265863,0.19709831461347718,0.1943327,0.1874761897265863,2.1951122383139676,3.0353193,2.3551038928775796,2.2436654353763217,0.016512700780542372,0.15999165456361197,-0.6802154354305259
2018-10-26,0.20398889050712868,High_Vol,0.21408620759557592,0.18813244285939001,0.1920416796975278,0.18918382,0.18813244285939001,1.4115119440587947,2.8962686,1.6600059985136824,1.5564459381808646,0.025953764736185908,0.2484940544548877,-1.2362626076722307
2018-10-30,0.21408620759557592,High_Vol,0.21431759793077534,0.19613825597560763,0.1956473874756165,0.19825868,0.19613825597560763,3.124317421361596,2.4610958,3.2900663741362735,3.1956056205198564,0.01817934195516771,0.1657489527746776,0.82897056419975
2018-11-01,0.21431759793077534,High_Vol,0.21337278133814908,0.2020743476069068,0.21578114398585949,0.20717666,0.2020743476069068,4.643326490573699,2.5570664,4.726724741093818,4.732080233290674,0.011298433731242286,0.08339825052011918,2.169658300511543
2018-11-02,0.21337278133814908,High_Vol,0.21646391361313275,0.1969836270644135,0.211700787578331,0.21183598,0.1969836270644135,4.657309696070158,4.0016904,4.797615123083446,4.781754242155159,0.01948028654871925,0.1403054270132884,0.795924735357616
