date,delta,gamma,vega,theta,rho,pred_vol,two_step_price
2018-10-15,0.6797115968815235,0.07680309759740923,8.939124993450498,-186.36145582602458,4.6509299940256765,0.18641254895187065,3.023854883809882
2018-10-16,0.7994834698719457,0.05737445738171714,7.156585572878589,-217.54894190248913,5.520225594924988,0.1914783537299433,4.443374499009863
2018-10-18,0.7761144591770843,0.06087020080440071,7.595917404524247,-212.05389893891837,5.342733037673377,0.19344457722714575,4.172290580983727
2018-10-19,0.7874825902481473,0.06111422917574397,7.358912464364362,-216.25917771326576,5.416405022124894,0.1872836714146197,4.173060179535327
2018-10-23,0.6140006952345629,0.08257204421875422,9.460716259260638,-169.45110558471578,4.175017229763659,0.18732637630365442,2.5021873078357046
2018-10-25,0.5693762169372665,0.08505429070089897,9.680771809462694,-156.5964389204634,3.866957368518038,0.1874761897265863,2.1951122383139676
2018-10-26,0.4315954929729365,0.08597464368525753,9.55192688026091,-118.33898672958341,2.910087194307274,0.18813244285939001,1.4115119440587947
2018-10-30,0.6726711565531385,0.0734028445956557,9.050072304225843,-183.18144238656245,4.6082011217237815,0.19613825597560763,3.124317421361596
2018-11-01,0.7958455981924495,0.05477220425708448,7.257934531742673,-215.89643919027648,5.496193866173652,0.2020743476069068,4.643326490573699
2018-11-02,0.8070021379555379,0.0546155811646894,6.9773880425930335,-222.49209484550693,5.544655994335192,0.1969836270644135,4.657309696070158
2018-11-05,0.8434868517056677,0.05048399551699855,6.147416453323992,-230.69290140415313,5.829621954131803,0.18531954080199722,4.94384197958081
2018-11-08,0.9430165288064273,0.022692067524666452,3.020766611539493,-258.2339532084016,6.552826090422947,0.19090489588193468,7.628767066498554
2018-11-09,0.9053983281422296,0.033348244439179775,4.406254103826278,-246.02821765464608,6.293629658971962,0.1932130326892876,6.494672428758392
2018-11-13,0.8365846997988409,0.050578910376746986,6.352377478873192,-225.96602545901035,5.8053936209670916,0.18939874204523321,4.962177962309482
2018-11-15,0.8396089765099749,0.04861482091124393,6.303024112887017,-225.28426785204508,5.840150739756872,0.19381813430720768,5.142919963993222
2018-11-20,0.729618612163811,0.062297405810761965,8.43184853990988,-195.56958578496847,5.038813653474572,0.208423028067794,3.942277706674112
2018-11-26,0.7656519932204191,0.055292077986400213,7.877390654634585,-205.29467704489582,5.295294045578741,0.2161469631606263,4.550214442119291
2018-11-28,0.8312477539101935,0.04486461301734875,6.565549681946557,-221.09798466980072,5.7901599753667465,0.21534907675388623,5.582336170702931
2018-12-04,0.5851513384323586,0.07385771372291772,9.82209866477807,-153.3620558766232,4.038295304033865,0.20947294940182268,2.6143618046028934
2018-12-06,0.4526218461547032,0.06333648543407826,9.791097355717259,-120.20791425391702,3.0587390053108936,0.25303501693011377,2.049844997305044
2018-12-07,0.35647231149290587,0.05765139029325572,9.049001992296201,-95.61211613285973,2.3726643918934034,0.266456528252539,1.4988519073673423
2018-12-10,0.27379809792165,0.05157122131614339,7.929964515760167,-74.30162425578183,1.7954425113922738,0.27107078769674486,1.0444492253248576
2018-12-11,0.25358819652405107,0.048707008336940194,7.551225384702677,-69.72848986705071,1.6464926338615578,0.27872132626125423,0.9600749547637406
2018-12-12,0.2898240877277908,0.05104805982695988,8.123062931610203,-79.71564622762254,1.888645766041959,0.28240858145341863,1.1680287995347811
2018-12-14,0.23954547115452568,0.049457398082147164,7.318393087325272,-65.74979431799436,1.558527462397441,0.26645334530049664,0.8527790867901679
2018-12-18,0.15965332088226408,0.038782278042096954,5.625788838038266,-43.81252740332374,1.024809900415806,0.2705682893600383,0.5080361570063783
2018-12-20,0.10123892339561164,0.0282961344177024,4.013283286750115,-28.012530892048524,0.638091319559383,0.27613440326830296,0.2910208685755995
2018-12-21,0.05332728870056142,0.01818291436864525,2.402091025156953,-14.928901069926074,0.3297579654155383,0.26980689928682516,0.1305815402316064
2018-12-26,0.08511246570966574,0.025984063380155843,3.512195351136917,-23.645920498106364,0.5350988191943958,0.26585405777888604,0.22692034650822812
